Максим
Колесников
4f0cddfab056102f84e9ab77ac65a294
[4.3.2020 | 12:1:8] {"type":"cmd","data":"run"}
,[4.3.2020 | 12:1:9] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:9] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:9] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:9] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:9] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:9] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:9] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:9] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:9] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:10] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:10] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:10] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:10] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:10] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:10] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16392,"gpioe":16,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:10] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16392,"gpioe":16,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:10] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16392,"gpioe":16,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:10] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16392,"gpioe":16,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:10] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16392,"gpioe":16,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:11] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16408,"gpioe":272,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:11] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16408,"gpioe":272,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:11] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16408,"gpioe":272,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:11] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16408,"gpioe":272,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:11] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16408,"gpioe":272,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:11] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16440,"gpioe":1296,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:11] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16440,"gpioe":1296,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:11] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16440,"gpioe":1296,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:11] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16440,"gpioe":1296,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:11] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16440,"gpioe":5392,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:12] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16504,"gpioe":5392,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:12] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16504,"gpioe":5392,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:12] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16504,"gpioe":5392,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:12] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16504,"gpioe":5392,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:12] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16504,"gpioe":5392,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:12] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16504,"gpioe":5392,"modeltime":0,"type":"gpio"}
,[4.3.2020 | 12:1:12] {"client-id":"af85aa2e-4b72-4b37-ac16-d371b23c71b7","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16504,"gpioe":5392,"modeltime":0,"type":"gpio"}
